,uniprot_id,Entry,Entry Name,Reviewed,Protein names,Gene Names,Organism,Length,gene_first
209,q9ulk4,Q9ULK4,MED23_HUMAN,reviewed,Mediator of RNA polymerase II transcription subunit 23 (Activator-recruited cofactor 130 kDa component) (ARC130) (Cofactor required for Sp1 transcriptional activation subunit 3) (CRSP complex subunit 3) (Mediator complex subunit 23) (Protein sur-2 homolog) (hSur-2) (Transcriptional coactivator CRSP130) (Vitamin D3 receptor-interacting protein complex 130 kDa component) (DRIP130),MED23 ARC130 CRSP3 DRIP130 KIAA1216 SUR2,Homo sapiens (Human),1368,MED23
210,p15880,P15880,RS2_HUMAN,reviewed,Small ribosomal subunit protein uS5 (40S ribosomal protein S2) (40S ribosomal protein S4) (Protein LLRep3),RPS2 RPS4,Homo sapiens (Human),293,RPS2
211,q9nvh2,Q9NVH2,INT7_HUMAN,reviewed,Integrator complex subunit 7 (Int7),INTS7 C1orf73,Homo sapiens (Human),962,INTS7
212,q9brs2,Q9BRS2,RIOK1_HUMAN,reviewed,Serine/threonine-protein kinase RIO1 (EC 2.7.11.1) (EC 3.6.1.-) (RIO kinase 1),RIOK1 RIO1,Homo sapiens (Human),568,RIOK1
213,q01101,Q01101,INSM1_HUMAN,reviewed,Insulinoma-associated protein 1 (Zinc finger protein IA-1),INSM1 IA1,Homo sapiens (Human),510,INSM1
214,p61769,P61769,B2MG_HUMAN,reviewed,Beta-2-microglobulin [Cleaved into: Beta-2-microglobulin form pI 5.3],B2M CDABP0092 HDCMA22P,Homo sapiens (Human),119,B2M
215,p36954,P36954,RPB9_HUMAN,reviewed,DNA-directed RNA polymerase II subunit RPB9 (RNA polymerase II subunit B9) (DNA-directed RNA polymerase II subunit I) (RNA polymerase II 14.5 kDa subunit) (RPB14.5),POLR2I,Homo sapiens (Human),125,POLR2I
216,p50990,P50990,TCPQ_HUMAN,reviewed,T-complex protein 1 subunit theta (TCP-1-theta) (EC 3.6.1.-) (CCT-theta) (Chaperonin containing T-complex polypeptide 1 subunit 8) (Renal carcinoma antigen NY-REN-15),CCT8 C21orf112 CCTQ KIAA0002,Homo sapiens (Human),548,CCT8
217,p40818,P40818,UBP8_HUMAN,reviewed,Ubiquitin carboxyl-terminal hydrolase 8 (EC 3.4.19.12) (Deubiquitinating enzyme 8) (Ubiquitin isopeptidase Y) (hUBPy) (Ubiquitin thioesterase 8) (Ubiquitin-specific-processing protease 8),USP8 KIAA0055 UBPY,Homo sapiens (Human),1118,USP8
218,o14646,O14646,CHD1_HUMAN,reviewed,Chromodomain-helicase-DNA-binding protein 1 (CHD-1) (EC 3.6.4.-) (ATP-dependent helicase CHD1),CHD1,Homo sapiens (Human),1710,CHD1
219,o14497,O14497,ARI1A_HUMAN,reviewed,"AT-rich interactive domain-containing protein 1A (ARID domain-containing protein 1A) (B120) (BRG1-associated factor 250) (BAF250) (BRG1-associated factor 250a) (BAF250A) (Osa homolog 1) (hOSA1) (SWI-like protein) (SWI/SNF complex protein p270) (SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin subfamily F member 1) (hELD)",ARID1A BAF250 BAF250A C1orf4 OSA1 SMARCF1,Homo sapiens (Human),2285,ARID1A
220,p62873,P62873,GBB1_HUMAN,reviewed,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (Transducin beta chain 1),GNB1,Homo sapiens (Human),340,GNB1
221,q9unl4,Q9UNL4,ING4_HUMAN,reviewed,Inhibitor of growth protein 4 (p29ING4),ING4 My036,Homo sapiens (Human),249,ING4
222,p83369,P83369,LSM11_HUMAN,reviewed,U7 snRNA-associated Sm-like protein LSm11,LSM11,Homo sapiens (Human),360,LSM11
223,q02543,Q02543,RL18A_HUMAN,reviewed,Large ribosomal subunit protein eL20 (60S ribosomal protein L18a),RPL18A,Homo sapiens (Human),176,RPL18A
224,q9ukt4,Q9UKT4,FBX5_HUMAN,reviewed,F-box only protein 5 (Early mitotic inhibitor 1),FBXO5 EMI1 FBX5,Homo sapiens (Human),447,FBXO5
225,p04637,P04637,P53_HUMAN,reviewed,Cellular tumor antigen p53 (Antigen NY-CO-13) (Phosphoprotein p53) (Tumor suppressor p53),TP53 P53,Homo sapiens (Human),393,TP53
226,q9ujx2,Q9UJX2,CDC23_HUMAN,reviewed,Cell division cycle protein 23 homolog (Anaphase-promoting complex subunit 8) (APC8) (Cyclosome subunit 8),CDC23 ANAPC8,Homo sapiens (Human),597,CDC23
227,q9y2k7,Q9Y2K7,KDM2A_HUMAN,reviewed,Lysine-specific demethylase 2A (EC 1.14.11.27) (CXXC-type zinc finger protein 8) (F-box and leucine-rich repeat protein 11) (F-box protein FBL7) (F-box protein Lilina) (F-box/LRR-repeat protein 11) (JmjC domain-containing histone demethylation protein 1A) ([Histone-H3]-lysine-36 demethylase 1A),KDM2A CXXC8 FBL11 FBL7 FBXL11 JHDM1A KIAA1004,Homo sapiens (Human),1162,KDM2A
228,o15392,O15392,BIRC5_HUMAN,reviewed,Baculoviral IAP repeat-containing protein 5 (Apoptosis inhibitor 4) (Apoptosis inhibitor survivin),BIRC5 API4 IAP4,Homo sapiens (Human),142,BIRC5
229,q9h944,Q9H944,MED20_HUMAN,reviewed,Mediator of RNA polymerase II transcription subunit 20 (Mediator complex subunit 20) (TRF-proximal protein homolog) (hTRFP),MED20 TRFP,Homo sapiens (Human),212,MED20
230,p60900,P60900,PSA6_HUMAN,reviewed,Proteasome subunit alpha type-6 (27 kDa prosomal protein) (PROS-27) (p27K) (Macropain iota chain) (Multicatalytic endopeptidase complex iota chain) (Proteasome iota chain) (Proteasome subunit alpha-1) (alpha-1),PSMA6 PROS27,Homo sapiens (Human),246,PSMA6
231,q7z2g1,Q7Z2G1,H2BWT_HUMAN,reviewed,Histone H2B type W-T (H2B histone family member W testis-specific) (H2B.W histone 1),H2BW1 H2BFWT TH2B-175,Homo sapiens (Human),153,H2BW1
232,p37231,P37231,PPARG_HUMAN,reviewed,Peroxisome proliferator-activated receptor gamma (PPAR-gamma) (Nuclear receptor subfamily 1 group C member 3),PPARG NR1C3,Homo sapiens (Human),505,PPARG
233,q9nvr2,Q9NVR2,INT10_HUMAN,reviewed,Integrator complex subunit 10 (Int10),INTS10 C8orf35,Homo sapiens (Human),710,INTS10
234,q02156,Q02156,KPCE_HUMAN,reviewed,Protein kinase C epsilon type (EC 2.7.11.13) (nPKC-epsilon),PRKCE PKCE,Homo sapiens (Human),737,PRKCE
235,o43567,O43567,RNF13_HUMAN,reviewed,E3 ubiquitin-protein ligase RNF13 (EC 2.3.2.27) (RING finger protein 13),RNF13 RZF,Homo sapiens (Human),381,RNF13
236,q96de5,Q96DE5,APC16_HUMAN,reviewed,Anaphase-promoting complex subunit 16 (APC16) (Cyclosome subunit 16),ANAPC16 C10orf104 CENP-27,Homo sapiens (Human),110,ANAPC16
237,q9y248,Q9Y248,PSF2_HUMAN,reviewed,DNA replication complex GINS protein PSF2 (GINS complex subunit 2),GINS2 PSF2 CGI-122 DC5 HSPC037,Homo sapiens (Human),185,GINS2
238,q07817,Q07817,B2CL1_HUMAN,reviewed,Bcl-2-like protein 1 (Bcl2-L-1) (Apoptosis regulator Bcl-X),BCL2L1 BCL2L BCLX,Homo sapiens (Human),233,BCL2L1
239,q9ukv5,Q9UKV5,AMFR_HUMAN,reviewed,E3 ubiquitin-protein ligase AMFR (EC 2.3.2.36) (Autocrine motility factor receptor) (AMF receptor) (RING finger protein 45) (gp78),AMFR RNF45,Homo sapiens (Human),643,AMFR
240,p51948,P51948,MAT1_HUMAN,reviewed,CDK-activating kinase assembly factor MAT1 (CDK7/cyclin-H assembly factor) (Cyclin-G1-interacting protein) (Menage a trois) (RING finger protein 66) (RING finger protein MAT1) (p35) (p36),MNAT1 CAP35 MAT1 RNF66,Homo sapiens (Human),309,MNAT1
241,o15047,O15047,SET1A_HUMAN,reviewed,Histone-lysine N-methyltransferase SETD1A (EC 2.1.1.364) (Lysine N-methyltransferase 2F) (SET domain-containing protein 1A) (hSET1A) (Set1/Ash2 histone methyltransferase complex subunit SET1),SETD1A KIAA0339 KMT2F SET1 SET1A,Homo sapiens (Human),1707,SETD1A
242,p52657,P52657,T2AG_HUMAN,reviewed,Transcription initiation factor IIA subunit 2 (General transcription factor IIA subunit 2) (TFIIA p12 subunit) (TFIIA-12) (TFIIAS) (Transcription initiation factor IIA gamma chain) (TFIIA-gamma),GTF2A2 TF2A2,Homo sapiens (Human),109,GTF2A2
243,q96sy0,Q96SY0,INT14_HUMAN,reviewed,Integrator complex subunit 14 (von Willebrand factor A domain-containing protein 9),INTS14 C15orf44 VWA9,Homo sapiens (Human),518,INTS14
244,q15370,Q15370,ELOB_HUMAN,reviewed,Elongin-B (EloB) (Elongin 18 kDa subunit) (RNA polymerase II transcription factor SIII subunit B) (SIII p18) (Transcription elongation factor B polypeptide 2),ELOB TCEB2,Homo sapiens (Human),118,ELOB
245,p16403,P16403,H12_HUMAN,reviewed,Histone H1.2 (Histone H1c) (Histone H1d) (Histone H1s-1),H1-2 H1F2 HIST1H1C,Homo sapiens (Human),213,H1-2
246,q6p1k2,Q6P1K2,PMF1_HUMAN,reviewed,Polyamine-modulated factor 1 (PMF-1),PMF1,Homo sapiens (Human),205,PMF1
247,p60006,P60006,APC15_HUMAN,reviewed,Anaphase-promoting complex subunit 15 (APC15),ANAPC15 C11orf51 HSPC020,Homo sapiens (Human),121,ANAPC15
248,p62191,P62191,PRS4_HUMAN,reviewed,26S proteasome regulatory subunit 4 (P26s4) (26S proteasome AAA-ATPase subunit RPT2) (Proteasome 26S subunit ATPase 1),PSMC1,Homo sapiens (Human),440,PSMC1
249,q14676,Q14676,MDC1_HUMAN,reviewed,Mediator of DNA damage checkpoint protein 1 (Nuclear factor with BRCT domains 1),MDC1 KIAA0170 NFBD1,Homo sapiens (Human),2089,MDC1
250,q5qnw6,Q5QNW6,H2B2F_HUMAN,reviewed,Histone H2B type 2-F (H2B-clustered histone 18),H2BC18 HIST2H2BF,Homo sapiens (Human),126,H2BC18
251,q9h3r5,Q9H3R5,CENPH_HUMAN,reviewed,Centromere protein H (CENP-H) (Interphase centromere complex protein 35),CENPH ICEN35,Homo sapiens (Human),247,CENPH
252,p20248,P20248,CCNA2_HUMAN,reviewed,Cyclin-A2 (Cyclin-A) (Cyclin A),CCNA2 CCN1 CCNA,Homo sapiens (Human),432,CCNA2
253,p18124,P18124,RL7_HUMAN,reviewed,Large ribosomal subunit protein uL30 (60S ribosomal protein L7),RPL7,Homo sapiens (Human),248,RPL7
254,q03188,Q03188,CENPC_HUMAN,reviewed,Centromere protein C (CENP-C) (Centromere autoantigen C) (Centromere protein C 1) (CENP-C 1) (Interphase centromere complex protein 7),CENPC CENPC1 ICEN7,Homo sapiens (Human),943,CENPC
255,q9nqs7,Q9NQS7,INCE_HUMAN,reviewed,Inner centromere protein,INCENP,Homo sapiens (Human),918,INCENP
256,p62805,P62805,H4_HUMAN,reviewed,Histone H4,H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4C16 H4-16 HIST4H4,Homo sapiens (Human),103,H4C1
257,q7z7c8,Q7Z7C8,TAF8_HUMAN,reviewed,Transcription initiation factor TFIID subunit 8 (Protein taube nuss) (TBP-associated factor 43 kDa) (TBP-associated factor 8) (Transcription initiation factor TFIID 43 kDa subunit) (TAFII-43) (TAFII43) (hTAFII43),TAF8 TAFII43 TBN,Homo sapiens (Human),310,TAF8
258,q969h0,Q969H0,FBXW7_HUMAN,reviewed,F-box/WD repeat-containing protein 7 (Archipelago homolog) (hAgo) (F-box and WD-40 domain-containing protein 7) (F-box protein FBX30) (SEL-10) (hCdc4),FBXW7 FBW7 FBX30 SEL10,Homo sapiens (Human),707,FBXW7
259,q68cp9,Q68CP9,ARID2_HUMAN,reviewed,AT-rich interactive domain-containing protein 2 (ARID domain-containing protein 2) (BRG1-associated factor 200) (BAF200) (Zinc finger protein with activation potential) (Zipzap/p200),ARID2 BAF200 KIAA1557,Homo sapiens (Human),1835,ARID2
260,p11388,P11388,TOP2A_HUMAN,reviewed,"DNA topoisomerase 2-alpha (EC 5.6.2.2) (DNA topoisomerase II, alpha isozyme)",TOP2A TOP2,Homo sapiens (Human),1531,TOP2A
261,q49a26,Q49A26,GLYR1_HUMAN,reviewed,Cytokine-like nuclear factor N-PAC (NPAC) (3-hydroxyisobutyrate dehydrogenase-like protein) (Glyoxylate reductase 1 homolog) (Nuclear protein NP60) (Nuclear protein of 60 kDa) (Nucleosome-destabilizing factor) (hNDF) (Putative oxidoreductase GLYR1),GLYR1 HIBDL NDF NP60 NPAC,Homo sapiens (Human),553,GLYR1
262,p49207,P49207,RL34_HUMAN,reviewed,Large ribosomal subunit protein eL34 (60S ribosomal protein L34),RPL34,Homo sapiens (Human),117,RPL34
263,p35226,P35226,BMI1_HUMAN,reviewed,Polycomb complex protein BMI-1 (Polycomb group RING finger protein 4) (RING finger protein 51),BMI1 PCGF4 RNF51,Homo sapiens (Human),326,BMI1
264,o00487,O00487,PSDE_HUMAN,reviewed,26S proteasome non-ATPase regulatory subunit 14 (EC 3.4.19.-) (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1),PSMD14 POH1,Homo sapiens (Human),310,PSMD14
265,q6zrs2,Q6ZRS2,SRCAP_HUMAN,reviewed,Helicase SRCAP (EC 3.6.4.-) (Domino homolog 2) (Snf2-related CBP activator),SRCAP KIAA0309,Homo sapiens (Human),3230,SRCAP
266,p29083,P29083,T2EA_HUMAN,reviewed,General transcription factor IIE subunit 1 (General transcription factor IIE 56 kDa subunit) (Transcription initiation factor IIE subunit alpha) (TFIIE-alpha),GTF2E1 TF2E1,Homo sapiens (Human),439,GTF2E1
267,o15164,O15164,TIF1A_HUMAN,reviewed,Transcription intermediary factor 1-alpha (TIF1-alpha) (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM24) (RING finger protein 82) (RING-type E3 ubiquitin transferase TIF1-alpha) (Tripartite motif-containing protein 24),TRIM24 RNF82 TIF1 TIF1A,Homo sapiens (Human),1050,TRIM24
268,q92785,Q92785,REQU_HUMAN,reviewed,"Zinc finger protein ubi-d4 (Apoptosis response zinc finger protein) (BRG1-associated factor 45D) (BAF45D) (D4, zinc and double PHD fingers family 2) (Protein requiem)",DPF2 BAF45D REQ UBID4,Homo sapiens (Human),391,DPF2
269,q9nrc8,Q9NRC8,SIR7_HUMAN,reviewed,NAD-dependent protein deacetylase sirtuin-7 (EC 2.3.1.286) (NAD-dependent protein deacylase sirtuin-7) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 7) (SIR2-like protein 7),SIRT7 SIR2L7,Homo sapiens (Human),400,SIRT7
270,p54725,P54725,RD23A_HUMAN,reviewed,UV excision repair protein RAD23 homolog A (HR23A) (hHR23A),RAD23A,Homo sapiens (Human),363,RAD23A
271,q15022,Q15022,SUZ12_HUMAN,reviewed,Polycomb protein SUZ12 (Chromatin precipitated E2F target 9 protein) (ChET 9 protein) (Joined to JAZF1 protein) (Suppressor of zeste 12 protein homolog),SUZ12 CHET9 JJAZ1 KIAA0160,Homo sapiens (Human),739,SUZ12
272,q9bvi0,Q9BVI0,PHF20_HUMAN,reviewed,PHD finger protein 20 (Glioma-expressed antigen 2) (Hepatocellular carcinoma-associated antigen 58) (Novel zinc finger protein) (Transcription factor TZP),PHF20 C20orf104 GLEA2 HCA58 NZF TZP,Homo sapiens (Human),1012,PHF20
273,q16385,Q16385,SSX2_HUMAN,reviewed,"Protein SSX2 (Cancer/testis antigen 5.2) (CT5.2) (Synovial sarcoma, X breakpoint 2) (Tumor antigen HOM-MEL-40)",SSX2 SSX2A; SSX2B,Homo sapiens (Human),188,SSX2
274,p45974,P45974,UBP5_HUMAN,reviewed,Ubiquitin carboxyl-terminal hydrolase 5 (EC 3.4.19.12) (Deubiquitinating enzyme 5) (Isopeptidase T) (Ubiquitin thioesterase 5) (Ubiquitin-specific-processing protease 5),USP5 ISOT,Homo sapiens (Human),858,USP5
275,q2nl82,Q2NL82,TSR1_HUMAN,reviewed,Pre-rRNA-processing protein TSR1 homolog,TSR1 KIAA1401,Homo sapiens (Human),804,TSR1
276,p62241,P62241,RS8_HUMAN,reviewed,Small ribosomal subunit protein eS8 (40S ribosomal protein S8),RPS8 OK/SW-cl.83,Homo sapiens (Human),208,RPS8
277,p52294,P52294,IMA5_HUMAN,reviewed,"Importin subunit alpha-5 (Karyopherin subunit alpha-1) (Nucleoprotein interactor 1) (NPI-1) (RAG cohort protein 2) (SRP1-beta) [Cleaved into: Importin subunit alpha-5, N-terminally processed]",KPNA1 RCH2,Homo sapiens (Human),538,KPNA1
278,q9ujx3,Q9UJX3,APC7_HUMAN,reviewed,Anaphase-promoting complex subunit 7 (APC7) (Cyclosome subunit 7),ANAPC7 APC7,Homo sapiens (Human),565,ANAPC7
279,q9uqr0,Q9UQR0,SCML2_HUMAN,reviewed,Sex comb on midleg-like protein 2,SCML2,Homo sapiens (Human),700,SCML2
280,q8ixj6,Q8IXJ6,SIR2_HUMAN,reviewed,NAD-dependent protein deacetylase sirtuin-2 (EC 2.3.1.286) (NAD-dependent protein defatty-acylase sirtuin-2) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2),SIRT2 SIR2L SIR2L2,Homo sapiens (Human),389,SIRT2
281,q9y3y4,Q9Y3Y4,PYGO1_HUMAN,reviewed,Pygopus homolog 1,PYGO1,Homo sapiens (Human),419,PYGO1
282,q03112,Q03112,MECOM_HUMAN,reviewed,Histone-lysine N-methyltransferase MECOM (EC 2.1.1.367) (Ecotropic virus integration site 1 protein homolog) (EVI-1) (MDS1 and EVI1 complex locus protein) (Myelodysplasia syndrome 1 protein) (Myelodysplasia syndrome-associated protein 1),MECOM EVI1 MDS1 PRDM3,Homo sapiens (Human),1230,MECOM
283,q13085,Q13085,ACACA_HUMAN,reviewed,Acetyl-CoA carboxylase 1 (ACC1) (EC 6.4.1.2) (Acetyl-Coenzyme A carboxylase alpha) (ACC-alpha),ACACA ACAC ACC1 ACCA,Homo sapiens (Human),2346,ACACA
284,p62851,P62851,RS25_HUMAN,reviewed,Small ribosomal subunit protein eS25 (40S ribosomal protein S25),RPS25,Homo sapiens (Human),125,RPS25
285,q9btt0,Q9BTT0,AN32E_HUMAN,reviewed,Acidic leucine-rich nuclear phosphoprotein 32 family member E (LANP-like protein) (LANP-L),ANP32E,Homo sapiens (Human),268,ANP32E
286,p45973,P45973,CBX5_HUMAN,reviewed,Chromobox protein homolog 5 (Antigen p25) (Heterochromatin protein 1 homolog alpha) (HP1 alpha),CBX5 HP1A,Homo sapiens (Human),191,CBX5
287,q9y657,Q9Y657,SPIN1_HUMAN,reviewed,Spindlin-1 (Ovarian cancer-related protein) (Spindlin1),SPIN1 OCR SPIN,Homo sapiens (Human),262,SPIN1
288,q99436,Q99436,PSB7_HUMAN,reviewed,Proteasome subunit beta type-7 (EC 3.4.25.1) (Macropain chain Z) (Multicatalytic endopeptidase complex chain Z) (Proteasome subunit Z) (Proteasome subunit beta-2) (beta-2),PSMB7 Z,Homo sapiens (Human),277,PSMB7
289,q96g25,Q96G25,MED8_HUMAN,reviewed,Mediator of RNA polymerase II transcription subunit 8 (Activator-recruited cofactor 32 kDa component) (ARC32) (Mediator complex subunit 8),MED8,Homo sapiens (Human),268,MED8
290,q96n11,Q96N11,INT15_HUMAN,reviewed,Integrator complex subunit 15,INTS15 C7orf26,Homo sapiens (Human),449,INTS15
291,p42766,P42766,RL35_HUMAN,reviewed,Large ribosomal subunit protein uL29 (60S ribosomal protein L35),RPL35,Homo sapiens (Human),123,RPL35
292,q9h9b1,Q9H9B1,EHMT1_HUMAN,reviewed,Histone-lysine N-methyltransferase EHMT1 (EC 2.1.1.-) (EC 2.1.1.367) (Euchromatic histone-lysine N-methyltransferase 1) (Eu-HMTase1) (G9a-like protein 1) (GLP) (GLP1) (Histone H3-K9 methyltransferase 5) (H3-K9-HMTase 5) (Lysine N-methyltransferase 1D),EHMT1 EUHMTASE1 GLP KIAA1876 KMT1D,Homo sapiens (Human),1298,EHMT1
293,o75150,O75150,BRE1B_HUMAN,reviewed,E3 ubiquitin-protein ligase BRE1B (BRE1-B) (EC 2.3.2.27) (95 kDa retinoblastoma-associated protein) (RBP95) (RING finger protein 40) (RING-type E3 ubiquitin transferase BRE1B),RNF40 BRE1B KIAA0661,Homo sapiens (Human),1001,RNF40
294,p39019,P39019,RS19_HUMAN,reviewed,Small ribosomal subunit protein eS19 (40S ribosomal protein S19),RPS19,Homo sapiens (Human),145,RPS19
295,q9y262,Q9Y262,EIF3L_HUMAN,reviewed,Eukaryotic translation initiation factor 3 subunit L (eIF3l) (Eukaryotic translation initiation factor 3 subunit 6-interacting protein) (Eukaryotic translation initiation factor 3 subunit E-interacting protein),EIF3L EIF3EIP EIF3S6IP HSPC021 HSPC025 MSTP005,Homo sapiens (Human),564,EIF3L
296,o60341,O60341,KDM1A_HUMAN,reviewed,Lysine-specific histone demethylase 1A (EC 1.14.99.66) (BRAF35-HDAC complex protein BHC110) (Flavin-containing amine oxidase domain-containing protein 2) ([histone H3]-dimethyl-L-lysine(4) FAD-dependent demethylase 1A),KDM1A AOF2 KDM1 KIAA0601 LSD1,Homo sapiens (Human),852,KDM1A
297,o43257,O43257,ZNHI1_HUMAN,reviewed,Zinc finger HIT domain-containing protein 1 (Cyclin-G1-binding protein 1) (Zinc finger protein subfamily 4A member 1) (p18 Hamlet),ZNHIT1 CGBP1 ZNFN4A1,Homo sapiens (Human),154,ZNHIT1
298,o14818,O14818,PSA7_HUMAN,reviewed,Proteasome subunit alpha type-7 (Proteasome subunit RC6-1) (Proteasome subunit XAPC7) (Proteasome subunit alpha-4) (alpha-4),PSMA7 HSPC,Homo sapiens (Human),248,PSMA7
299,q12962,Q12962,TAF10_HUMAN,reviewed,Transcription initiation factor TFIID subunit 10 (STAF28) (Transcription initiation factor TFIID 30 kDa subunit) (TAF(II)30) (TAFII-30) (TAFII30),TAF10 TAF2A TAF2H TAFII30,Homo sapiens (Human),218,TAF10
300,p18621,P18621,RL17_HUMAN,reviewed,Large ribosomal subunit protein uL22 (60S ribosomal protein L17) (60S ribosomal protein L23) (PD-1),RPL17,Homo sapiens (Human),184,RPL17
301,q9ukl0,Q9UKL0,RCOR1_HUMAN,reviewed,REST corepressor 1 (Protein CoREST),RCOR1 KIAA0071 RCOR,Homo sapiens (Human),485,RCOR1
302,q14258,Q14258,TRI25_HUMAN,reviewed,E3 ubiquitin/ISG15 ligase TRIM25 (EC 6.3.2.n3) (Estrogen-responsive finger protein) (RING finger protein 147) (RING-type E3 ubiquitin transferase) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM25) (Tripartite motif-containing protein 25) (Ubiquitin/ISG15-conjugating enzyme TRIM25) (Zinc finger protein 147),TRIM25 EFP RNF147 ZNF147,Homo sapiens (Human),630,TRIM25
303,q9ugj1,Q9UGJ1,GCP4_HUMAN,reviewed,Gamma-tubulin complex component 4 (GCP-4) (hGCP4) (Gamma-ring complex protein 76 kDa) (h76p) (hGrip76),TUBGCP4 76P GCP4,Homo sapiens (Human),667,TUBGCP4
304,q8ixj9,Q8IXJ9,ASXL1_HUMAN,reviewed,Polycomb group protein ASXL1 (Additional sex combs-like protein 1),ASXL1 KIAA0978,Homo sapiens (Human),1541,ASXL1
305,q96ru2,Q96RU2,UBP28_HUMAN,reviewed,Ubiquitin carboxyl-terminal hydrolase 28 (EC 3.4.19.12) (Deubiquitinating enzyme 28) (Ubiquitin thioesterase 28) (Ubiquitin-specific-processing protease 28),USP28 KIAA1515,Homo sapiens (Human),1077,USP28
306,o14746,O14746,TERT_HUMAN,reviewed,Telomerase reverse transcriptase (EC 2.7.7.49) (HEST2) (Telomerase catalytic subunit) (Telomerase-associated protein 2) (TP2),TERT EST2 TCS1 TRT,Homo sapiens (Human),1132,TERT
307,p19387,P19387,RPB3_HUMAN,reviewed,DNA-directed RNA polymerase II subunit RPB3 (RNA polymerase II subunit 3) (RNA polymerase II subunit B3) (DNA-directed RNA polymerase II 33 kDa polypeptide) (RPB33) (DNA-directed RNA polymerase II subunit C) (RPB31),POLR2C A-152E5.7,Homo sapiens (Human),275,POLR2C
308,p49720,P49720,PSB3_HUMAN,reviewed,Proteasome subunit beta type-3 (Proteasome chain 13) (Proteasome component C10-II) (Proteasome subunit beta-3) (beta-3) (Proteasome theta chain),PSMB3,Homo sapiens (Human),205,PSMB3
309,p40337,P40337,VHL_HUMAN,reviewed,von Hippel-Lindau disease tumor suppressor (Protein G7) (pVHL),VHL,Homo sapiens (Human),213,VHL
310,p0c0s5,P0C0S5,H2AZ_HUMAN,reviewed,Histone H2A.Z (H2A/z),H2AZ1 H2AFZ H2AZ,Homo sapiens (Human),128,H2AZ1
311,p39023,P39023,RL3_HUMAN,reviewed,Large ribosomal subunit protein uL3 (60S ribosomal protein L3) (HIV-1 TAR RNA-binding protein B) (TARBP-B),RPL3 OK/SW-cl.32,Homo sapiens (Human),403,RPL3
312,q6w0c5,Q6W0C5,DPPA3_HUMAN,reviewed,Developmental pluripotency-associated protein 3 (Stella-related protein),DPPA3 STELLAR,Homo sapiens (Human),159,DPPA3
313,q96l91,Q96L91,EP400_HUMAN,reviewed,E1A-binding protein p400 (EC 3.6.4.-) (CAG repeat protein 32) (Domino homolog) (hDomino) (Trinucleotide repeat-containing gene 12 protein) (p400 kDa SWI2/SNF2-related protein),EP400 CAGH32 KIAA1498 KIAA1818 TNRC12,Homo sapiens (Human),3159,EP400
314,p25205,P25205,MCM3_HUMAN,reviewed,DNA replication licensing factor MCM3 (EC 3.6.4.12) (DNA polymerase alpha holoenzyme-associated protein P1) (P1-MCM3) (RLF subunit beta) (p102),MCM3,Homo sapiens (Human),808,MCM3
315,q9h2f5,Q9H2F5,EPC1_HUMAN,reviewed,Enhancer of polycomb homolog 1,EPC1,Homo sapiens (Human),836,EPC1
316,q9y2x0,Q9Y2X0,MED16_HUMAN,reviewed,Mediator of RNA polymerase II transcription subunit 16 (Mediator complex subunit 16) (Thyroid hormone receptor-associated protein 5) (Thyroid hormone receptor-associated protein complex 95 kDa component) (Trap95) (Vitamin D3 receptor-interacting protein complex 92 kDa component) (DRIP92),MED16 DRIP92 THRAP5,Homo sapiens (Human),877,MED16
317,p49459,P49459,UBE2A_HUMAN,reviewed,Ubiquitin-conjugating enzyme E2 A (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme A) (RAD6 homolog A) (HR6A) (hHR6A) (Ubiquitin carrier protein A) (Ubiquitin-protein ligase A),UBE2A RAD6A,Homo sapiens (Human),152,UBE2A
318,o96020,O96020,CCNE2_HUMAN,reviewed,G1/S-specific cyclin-E2,CCNE2,Homo sapiens (Human),404,CCNE2
319,p20226,P20226,TBP_HUMAN,reviewed,TATA-box-binding protein (TATA sequence-binding protein) (TATA-binding factor) (TATA-box factor) (Transcription initiation factor TFIID TBP subunit),TBP GTF2D1 TF2D TFIID,Homo sapiens (Human),339,TBP
320,p60709,P60709,ACTB_HUMAN,reviewed,"Actin, cytoplasmic 1 (EC 3.6.4.-) (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]",ACTB,Homo sapiens (Human),375,ACTB
